customer_id,signup_date,acquisition_channel,region
1,2026-06-28,TikTok,AU
2,2026-01-10,TikTok,US
3,2026-04-11,Meta,EU
4,2026-07-03,TikTok,US
5,2026-03-28,Meta,US
6,2026-05-01,Meta,US
7,2026-05-19,Meta,US
8,2026-06-24,Meta,US
9,2026-06-14,Google,UK
10,2026-05-29,Google,US
11,2026-06-18,Google,UK
12,2026-07-20,Google,US
13,2026-06-05,Meta,EU
14,2026-07-29,Meta,EU
15,2026-06-25,Google,US
16,2026-07-30,Affiliate,US
17,2026-05-11,Meta,US
18,2026-06-26,Meta,CA
19,2026-05-13,Meta,AU
20,2026-07-06,Organic/Direct,AU
21,2026-07-02,Affiliate,AU
22,2026-07-05,Meta,CA
23,2026-04-09,Meta,US
24,2026-07-03,TikTok,UK
25,2026-03-20,Meta,UK
26,2026-02-11,Meta,US
27,2026-03-18,Organic/Direct,US
28,2026-05-17,Meta,CA
29,2026-07-17,Meta,US
30,2026-04-21,Meta,AU
31,2026-07-25,Organic/Direct,US
32,2026-07-16,Affiliate,US
33,2026-02-27,Meta,UK
34,2026-06-23,Google,CA
35,2026-06-07,Meta,US
36,2026-04-19,Meta,US
37,2026-07-02,Meta,US
38,2026-06-18,Meta,UK
39,2026-05-25,Google,EU
40,2026-05-01,Google,UK
41,2026-06-18,Google,UK
42,2026-06-20,Meta,US
43,2026-02-10,Meta,US
44,2026-06-04,Google,US
45,2026-07-25,TikTok,US
46,2026-06-11,TikTok,AU
47,2026-06-20,Affiliate,US
48,2026-07-24,Meta,UK
49,2026-04-09,Google,US
50,2026-05-08,Organic/Direct,US
51,2026-07-20,Google,US
52,2026-04-21,Organic/Direct,EU
53,2026-07-11,Meta,US
54,2026-06-18,Organic/Direct,US
55,2026-05-02,Organic/Direct,CA
56,2026-04-06,Affiliate,US
57,2026-06-11,Affiliate,US
58,2026-07-05,TikTok,US
59,2026-04-22,Organic/Direct,EU
60,2026-06-05,TikTok,US
61,2026-07-16,Meta,US
62,2026-07-07,Google,US
63,2026-04-19,Meta,US
