refund_id,order_id,refund_date,refund_amount,reason
1,4,2026-05-03,495.0,Defective unit
2,9,2026-06-22,495.0,No results
3,26,2026-07-09,29.5,Shipping damage
4,28,2026-04-22,59.0,Changed mind
5,37,2026-05-25,210.38,Shipping damage
6,43,2026-07-11,59.0,Defective unit
7,105,2026-05-21,495.0,Changed mind
8,108,2026-04-11,495.0,Ordered by mistake
9,114,2026-07-16,495.0,Defective unit
10,116,2026-02-04,495.0,Shipping damage
11,118,2026-02-13,211.65,Ordered by mistake
12,153,2026-07-31,495.0,No results
13,168,2026-04-04,445.5,Ordered by mistake
14,201,2026-05-19,495.0,Changed mind
15,265,2026-05-09,495.0,Changed mind
16,268,2026-07-26,59.0,Defective unit
17,287,2026-06-29,495.0,Shipping damage
18,290,2026-04-15,247.5,Shipping damage
19,292,2026-04-13,498.0,Ordered by mistake
20,295,2026-05-18,495.0,Ordered by mistake
21,314,2026-04-18,420.75,Shipping damage
22,346,2026-06-03,495.0,Ordered by mistake
23,356,2026-03-08,59.0,Ordered by mistake
24,386,2026-05-17,495.0,Shipping damage
25,389,2026-05-09,495.0,Changed mind
26,390,2026-05-27,53.1,Defective unit
27,424,2026-04-03,249.0,Defective unit
28,428,2026-07-25,495.0,Ordered by mistake
29,432,2026-05-10,445.5,No results
30,435,2026-06-15,26.55,Shipping damage
31,458,2026-04-01,247.5,Defective unit
32,483,2026-06-13,198.0,Ordered by mistake
33,488,2026-06-12,495.0,Defective unit
34,500,2026-06-01,495.0,Ordered by mistake
35,511,2026-05-09,59.0,Shipping damage
36,519,2026-07-07,124.5,Defective unit
37,538,2026-07-05,224.1,Ordered by mistake
38,542,2026-07-12,39.0,Shipping damage
39,552,2026-03-31,495.0,Defective unit
40,579,2026-04-21,39.0,Shipping damage
41,633,2026-06-24,495.0,Changed mind
42,645,2026-07-27,495.0,Changed mind
43,648,2026-07-21,199.2,Shipping damage
44,654,2026-06-17,118.0,Ordered by mistake
45,676,2026-07-04,124.5,Changed mind
46,688,2026-04-20,495.0,Shipping damage
47,689,2026-06-21,495.0,Shipping damage
48,722,2026-07-27,495.0,Defective unit
49,726,2026-04-05,495.0,Defective unit
50,760,2026-06-22,495.0,Ordered by mistake
51,761,2026-07-14,247.5,Shipping damage
52,762,2026-05-12,59.0,Defective unit
53,765,2026-07-11,495.0,Defective unit
54,773,2026-02-19,495.0,Changed mind
55,790,2026-05-11,247.5,Changed mind
56,806,2026-07-09,445.5,Ordered by mistake
57,809,2026-06-30,247.5,Changed mind
58,812,2026-05-12,495.0,Shipping damage
59,818,2026-07-18,59.0,No results
60,834,2026-06-17,59.0,Ordered by mistake
61,839,2026-03-29,495.0,Ordered by mistake
62,846,2026-05-02,249.0,Changed mind
63,849,2026-02-05,495.0,Defective unit
64,851,2026-05-30,445.5,Shipping damage
65,852,2026-05-07,105.83,No results
66,858,2026-04-05,247.5,Shipping damage
67,864,2026-06-17,495.0,Changed mind
68,874,2026-07-15,495.0,No results
69,876,2026-05-14,249.0,Defective unit
70,879,2026-06-19,39.0,No results
71,888,2026-05-18,420.75,Defective unit
72,889,2026-07-23,249.0,Ordered by mistake
